J06_Irrad,State ,WB_Arm1,WB_Arm2,Wet weight,Dry_wheigth,Time fly (s),Intensity(dB)Edit,Wing Lw (mm),Wing Ll (mm),Wing Rw (mm),Wing Rl (mm)
Male,Virgin,263,516,0.0366,0.0119,33.797,56.4,,,2.202,
Male,Virgin,251,502,0.0358,0.0108,9.706,54.9,1.969,,2.017,
Male,Virgin,240,480,0.0304,0.0093,39.197,50,1.85,5.071,2.003,
Male,Virgin,253,504,0.0303,0.0104,76.393,49.8,2.028,5.352,1.873,5.018
Male,Virgin,242,488,0.0249,0.0088,6.177,57,2.045,5.358,2.013,5.4
Male,Virgin,244,488,0.0357,0.0116,24.42,48.5,2.087,5.416,2.16,5.483
Male,Virgin,236,500,0.0366,0.0117,112.21,47.6,1.947,5.565,2.064,5.622
Male,Virgin,217,439,0.0373,0.0127,89.374,53.8,2.111,5.513,2.112,5.603
Male,Virgin,240,486,0.0346,0.0108,30.16,51.5,1.969,5.248,1.992,5.372
Male,Virgin,252,545,0.0456,0.0163,159.196,46.5,2.179,5.745,2.222,
Male,Virgin,233,468,0.0355,0.0106,68.354,50.2,1.954,5.385,2.011,5.407
Male,Virgin,253,516,0.0403,0.0169,118.782,53.1,1.985,5.182,2.012,5.272
Male,Virgin,218,446,0.0318,0.0093,58.756,49.8,2.059,5.343,2.04,5.403
Male,Virgin,199,404,0.0416,0.0141,196.125,54.1,1.854,5.314,2.049,5.357
Male,Virgin,231,463,0.0315,0.01,6.336,52.7,1.993,5.152,,
Male,Virgin,228,453,0.0367,0.0115,73.677,46.2,1.944,5.484,2.097,5.468
Male,Virgin,241,495,0.0412,0.0158,1.669,60,1.914,5.284,1.954,5.28
Male,Virgin,230,459,0.0424,0.0145,54.439,54.5,2.003,5.267,2.013,5.332
Male,Virgin,264,555,0.0456,0.0181,140.597,56.9,1.975,5.462,1.998,5.528
Male,Virgin,246,502,0.0426,0.0177,66.145,41.8,1.927,5.24,2.017,5.288
Male,Virgin,247,501,0.032,0.0103,16.062,49.3,1.996,5.421,2.07,5.47
Male,Virgin,242,489,0.0281,0.0094,67.791,50,1.993,5.151,2.01,5.242
Male,Virgin,262,522,0.0319,0.0107,73.654,42.8,2.011,5.184,1.847,5.22
Male,Virgin,219,453,0.0298,0.0108,3.384,55,1.96,5.38,1.957,5.475
