J06_No_Irrad,State ,WB_Arm1,WB_Arm2,Wet weight,Dry_wheigth,Time fly (s),Intensity(dB)Edit,Wing Lw (mm),Wing Ll (mm),Wing Rw (mm),Wing Rl (mm)
Male,Virgin,213,392,0.0345,0.0108,145.914,48.4,2.089,5.159,2.098,5.229
Male,Virgin,200,408,0.0389,0.0124,52.756,53.4,2.172,5.49,2.147,5.549
Male,Virgin,222,478,0.0419,0.0124,116.170,51,2.259,,2.182,5.775
Male,Virgin,236,473,0.0401,0.0117,71.197,49.5,2.175,,2.064,
Male,Virgin,213,426,0.0271,0.0087,116.100,46.8,1.936,5.09,1.984,5.188
Male,Virgin,220,447,0.0334,0.0106,99.196,48.8,2.085,5.428,1.996,5.494
Male,Virgin,243,482,0.0285,0.0086,80.898,45.7,1.943,4.984,1.895,
Male,Virgin,202,445,0.0336,0.0105,106.696,49.2,2.088,5.394,2.248,5.429
Male,Virgin,256,525,0.0425,0.0121,166.040,49.9,2.05,5.384,2.121,5.387
Male,Virgin,217,440,0.0347,0.0104,24.056,43.2,1.953,5.092,2.003,5.208
Male,Virgin,192,392,0.0373,0.0113,82.876,55.4,2.159,5.532,2.099,5.544
Male,Virgin,214,439,0.0325,0.0091,184.226,47.8,2.008,,1.976,5.154
Male,Virgin,231,458,0.0382,0.0116,49.450,50.3,1.957,5.139,2.081,5.394
Male,Virgin,197,389,0.0377,0.0119,108.219,45.5,1.906,4.776,1.892,4.834
Male,Virgin,223,457,0.0436,0.0147,188.670,49.3,2.078,5.461,2.039,5.529
Male,Virgin,219,433,0.0403,0.0141,117.827,53.1,2.018,5.22,1.994,5.259
Male,Virgin,239,488,0.0464,0.0163,25.989,48.2,1.98,5.259,1.922,5.347
Male,Virgin,265,519,0.054,0.0183,21.502,43.3,2.242,5.403,2.119,5.459
Male,Virgin,227,449,0.0448,0.0125,210.664,46.3,2.066,5.397,2.129,5.422
Male,Virgin,231,466,0.043,0.0137,120.019,48.6,2.091,5.5,2.106,5.49
Male,Virgin,179,360,0.037,0.01,107.178,50,2.136,5.386,2.132,5.408
Male,Virgin,223,431,0.0339,0.0097,168.644,57.2,1.989,5.033,2.009,5.011
Male,Virgin,228,458,0.0375,0.0104,65.126,51.5,2.07,5.301,2.142,5.385
Male,Virgin,208,413,0.0307,0.0093,58.329,47,2.036,5.273,1.971,5.321
Male,Virgin,199,418,0.0449,0.0112,140.510,52.4,2.189,5.602,1.976,5.607
Male,Virgin,235,474,0.0257,0.0082,89.199,48.8,1.932,5.047,1.913,5.09
Male,Virgin,217,436,0.0328,0.0098,198.090,57.3,1.986,5.016,2.024,5.052
Male,Virgin,228,465,0.0398,0.0114,103.677,49.9,2.038,5.526,2.042,5.553
Male,Virgin,208,429,0.0281,0.0073,53.522,51.4,1.843,4.869,1.882,
Male,Virgin,251,498,0.0357,0.0098,42.199,51.6,2.065,,2.063,
Male,Virgin,213,427,0.0386,0.0112,106.115,49.3,2.101,5.391,2.153,5.292
Male,Virgin,209,436,0.0405,0.0106,154.605,48.7,2.077,5.298,2.054,5.311
Male,Virgin,221,439,0.0369,0.0109,136.721,49,2.053,5.189,2.048,5.216
Male,Virgin,219,451,0.0369,0.011,54.938,50,1.813,5.445,1.985,5.486
Male,Virgin,237,494,0.0372,0.011,154.605,53.3,2.047,5.134,1.98,5.13
Male,Virgin,209,437,0.0368,0.0115,136.721,53.3,2.006,5.23,2.004,5.289
Male,Virgin,208,421,0.0325,0.009,181.054,56.9,1.943,4.939,1.923,5.026
Male,Virgin,229,466,0.0457,0.0134,172.002,49.1,2.279,5.539,2.081,5.567
Male,Virgin,224,454,0.0406,0.0131,64.865,46.7,2.066,5.367,1.988,5.409
Male,Virgin,222,436,0.041,0.0104,209.401,46.1,1.997,5.185,1.893,5.198
