WildType_Yaviza,State ,WB_Arm1,WB_Arm2,Wet weight,Dry_wheigth,Time fly (s),Intensity(dB)Edit,Wing Lw (mm),Wing Ll (mm),Wing Rw (mm),Wing Rl (mm)
Male,Virgin,240,492,0.0251,0.0085,42.154,62,1.958,4.982,1.939,4.997
Male,Virgin,217,443,0.0315,0.0131,178.887,48,1.997,5.158,1.998,5.193
Male,Virgin,228,455,0.0311,0.0147,201.027,48,1.992,4.935,1.925,4.954
Male,Virgin,251,501,0.0286,0.0117,47.566,51.2,1.873,4.753,1.853,4.712
Male,Virgin,220,443,0.0284,0.0123,143.015,51.2,1.897,4.942,1.926,4.959
Male,Virgin,231,463,0.0244,0.0098,116.515,51.2,1.943,5.072,1.897,5.087
Male,Virgin,229,485,0.0292,0.0111,173.387,55,2.072,5.314,2.065,5.288
Male,Virgin,226,445,0.0247,0.0107,196.447,56.5,1.98,4.997,1.949,5.03
Male,Virgin,218,449,0.026,0.0081,6.02,54.3,1.875,4.839,1.852,4.892
Male,Virgin,211,441,0.0271,0.0102,14.42,49.4,2.093,4.997,2.071,5.116
Male,Virgin,234,477,0.0266,0.0127,95.875,57.4,1.793,4.788,1.87,4.84
Male,Virgin,180,363,0.0328,0.0145,95.968,57.4,2.049,5.17,1.931,5.214
Male,Virgin,223,452,0.0271,0.0113,58.746,50.8,1.925,4.886,1.888,4.899
Male,Virgin,233,474,0.0252,0.0102,71.936,51.8,1.813,4.636,1.779,4.643
Male,Virgin,177,365,0.0343,0.0157,52.291,51.7,1.968,5.214,2.003,5.209
Male,Virgin,217,433,0.0306,0.0124,29.297,49.3,1.912,4.951,1.952,4.961
Male,Virgin,214,428,0.0338,0.0172,65.263,49.6,1.977,5.103,1.998,5.109
Male,Virgin,230,462,0.0288,0.0132,66.822,49.4,1.959,4.965,1.96,5.052
Male,Virgin,226,452,0.0366,0.0201,105.889,49.8,2.019,5.014,2.02,5.09
Male,Virgin,240,483,0.0347,0.0167,118.317,49.8,1.982,5.051,1.931,5.082
Male,Virgin,247,513,0.033,0.0154,79.958,59.7,2.126,5.347,2.034,5.398
Male,Virgin,244,493,0.0313,0.0148,42.539,52.7,1.985,5.175,2.01,5.209
Male,Virgin,225,479,0.0345,0.0146,171.77,58,2.141,5.225,2.106,5.312
Male,Virgin,236,491,0.0389,0.0162,36.119,51.6,2.136,5.429,2.134,5.431
Male,Virgin,233,473,0.0268,0.0115,170.998,53.1,1.967,4.97,1.983,
Male,Virgin,239,487,0.0322,0.0121,155.177,48.3,1.981,5.151,2.016,5.194
Male,Virgin,241,488,0.0344,0.0129,98.708,55.2,2.118,5.368,2.087,5.492
Male,Virgin,228,457,0.0257,0.0101,177.041,59.7,1.948,5.102,2.044,5.151
Male,Virgin,233,470,0.0353,0.0116,97.037,58.6,2.044,5.274,2.02,5.312
Male,Virgin,234,452,0.0345,0.0141,144.176,54.6,2.03,5.299,2.013,5.332
Male,Virgin,225,474,0.0341,0.0145,105.035,56.3,1.92,4.982,1.975,5.056
Male,Virgin,237,491,0.0359,0.0153,132.325,47.4,1.995,5.193,2.032,5.221
Male,Virgin,235,481,0.0372,0.0179,133.48,57.1,1.968,5.043,1.998,5.115
Male,Virgin,240,513,0.0345,0.0144,206.072,50.2,2.096,5.306,2.031,5.292
