group,gender,WB_Arm1,WB_Arm2
J06_No_Irrad,Male,213,392
J06_No_Irrad,Male,200,408
J06_No_Irrad,Male,222,478
J06_No_Irrad,Male,236,473
J06_No_Irrad,Male,213,426
J06_No_Irrad,Male,220,447
J06_No_Irrad,Male,243,482
J06_No_Irrad,Male,202,445
J06_No_Irrad,Male,256,525
J06_No_Irrad,Male,217,440
J06_No_Irrad,Male,192,392
J06_No_Irrad,Male,214,439
J06_No_Irrad,Male,231,458
J06_No_Irrad,Male,197,389
J06_No_Irrad,Male,223,457
J06_No_Irrad,Male,219,433
J06_No_Irrad,Male,239,488
J06_No_Irrad,Male,265,519
J06_No_Irrad,Male,227,449
J06_No_Irrad,Male,231,466
J06_No_Irrad,Male,179,360
J06_No_Irrad,Male,223,431
J06_No_Irrad,Male,228,458
J06_No_Irrad,Male,208,413
J06_No_Irrad,Male,199,418
J06_No_Irrad,Male,235,474
J06_No_Irrad,Male,217,436
J06_No_Irrad,Male,228,465
J06_No_Irrad,Male,208,429
J06_No_Irrad,Male,251,498
J06_No_Irrad,Male,213,427
J06_No_Irrad,Male,209,436
J06_No_Irrad,Male,221,439
J06_No_Irrad,Male,219,451
J06_No_Irrad,Male,237,494
J06_No_Irrad,Male,209,437
J06_No_Irrad,Male,208,421
J06_No_Irrad,Male,229,466
J06_No_Irrad,Male,224,454
J06_No_Irrad,Male,222,436
J06_No_Irrad,Male,204,433
J06_No_Irrad,Male,210,453
J06_No_Irrad,Male,232,478
J06_No_Irrad,Male,212,483
J06_No_Irrad,Male,208,427
J06_No_Irrad,Male,198,415
J06_No_Irrad,Male,215,432
J06_No_Irrad,Male,226,454
J06_No_Irrad,Male,229,461
J06_No_Irrad,Male,215,433
J06_No_Irrad,Male,200,411
J06_No_Irrad,Male,219,447
J06_No_Irrad,Male,225,444
J06_No_Irrad,Male,232,496
J06_No_Irrad,Male,238,484
J06_No_Irrad,Male,220,443
J06_No_Irrad,Male,233,466
J06_No_Irrad,Male,238,480
J06_No_Irrad,Male,237,493
J06_No_Irrad,Male,235,477
J06_No_Irrad,Male,235,459
J06_No_Irrad,Male,222,470
J06_No_Irrad,Male,216,412
J06_No_Irrad,Male,195,410
J06_No_Irrad,Male,241,478
